Respondents,European,Canadian,Japanese,X6.19,X5.49,X4.79,Rich.full.bodied,Regular,Crisp.and.clear,Strong,Mild,Very.mild,Full,Regular.1,Low,Six.12Oz.Large,Six.12Oz.Small,Four.16Oz,Green.Label,Brown.Label,Brown.Painted,Respondents,Weekly_Consumption,Age_1_7,Income_1_7,Education_1_6,Sex_M_1_F_2,clusters,classes
4762,25,0,30,5,0,4,0,3,4,15,16,0,25,0,9,14,0,12,0,6,3,4762,3,4,7,6,1,1,1
5913,22,0,14,1,0,2,4,0,9,15,22,0,20,0,4,19,0,13,6,0,3,5913,20,6,7,5,1,1,1
3483,12,0,0,8,0,9,6,0,5,0,24,8,26,0,9,9,0,10,13,2,0,3483,6,5,4,1,1,1,1
5862,17,0,9,0,7,3,23,0,8,0,19,11,22,0,3,10,0,2,0,1,2,5862,2,7,6,5,1,1,1
5698,15,0,0,1,0,4,0,1,13,0,20,9,21,7,0,22,4,0,0,3,5,5698,3,6,7,3,1,1,1
2052,12,0,10,0,6,8,2,0,16,0,23,4,16,0,8,20,0,2,5,3,0,2052,3,3,3,6,2,1,1
5481,3,0,12,0,9,12,43,0,24,0,20,15,1,0,2,0,5,4,3,0,5,5481,5,5,7,6,1,1,1
3733,24,0,17,1,0,4,12,0,11,0,21,13,18,2,0,18,0,2,0,1,3,3733,4,4,6,2,1,1,1
2787,21,19,0,0,8,7,11,0,12,0,24,21,10,4,0,9,19,0,0,5,1,2787,2,6,7,2,1,1,1
4136,21,0,12,0,6,4,15,0,7,0,21,3,15,3,0,12,0,2,10,0,0,4136,14,5,4,6,2,1,1
4626,26,0,14,0,2,6,5,0,10,0,25,13,18,0,0,14,0,3,1,0,1,4626,2,5,6,6,1,1,1
6612,14,0,12,1,0,2,25,0,11,0,18,4,26,0,12,14,0,10,0,0,1,6612,24,5,7,5,1,1,1
6013,16,0,11,17,11,0,21,0,6,5,11,0,0,14,12,17,0,1,0,2,4,6013,6,6,7,6,1,1,1
3614,21,0,17,0,5,10,4,0,15,0,28,18,14,0,0,12,1,0,0,0,0,3614,15,5,7,6,1,1,1
4794,3,0,8,11,0,5,29,0,7,0,19,12,22,0,9,0,3,0,3,8,0,4794,6,5,7,6,1,1,1
1712,27,0,34,0,3,0,23,0,4,16,0,3,4,0,7,13,7,0,1,4,0,1712,3,5,5,6,2,1,1
6575,8,0,9,0,2,2,11,0,12,13,22,0,27,0,9,15,0,10,0,13,13,6575,0,4,2,6,1,1,1
4498,12,0,6,0,11,5,15,0,5,0,5,6,0,15,20,15,0,5,0,17,21,4498,36,3,7,5,1,3,3
5406,8,0,7,5,9,0,12,0,19,0,19,10,5,0,19,17,0,6,0,8,9,5406,4,2,1,5,1,1,1
7519,20,0,20,2,0,10,11,0,2,0,15,10,25,0,4,11,0,1,8,6,0,7519,0,2,7,3,2,1,1
2204,19,0,12,10,3,0,19,0,6,0,16,4,13,0,10,4,0,4,0,18,14,2204,2,6,6,5,1,1,1
7169,15,0,16,28,0,11,12,0,0,2,8,0,3,0,4,0,14,2,6,17,0,7169,6,6,6,6,1,1,1
